order_id,customer_id,order_status,order_status_text,order_date,required_date,shipped_date,store_id,staff_id
1,259,4,Delivered / Shipped,01-01-2016,03-01-2016,03-01-2016,1,2
2,1212,4,Delivered / Shipped,01-01-2016,04-01-2016,03-01-2016,2,6
3,523,4,Delivered / Shipped,02-01-2016,05-01-2016,03-01-2016,2,7
4,175,4,Delivered / Shipped,03-01-2016,04-01-2016,05-01-2016,1,3
5,1324,4,Delivered / Shipped,03-01-2016,06-01-2016,06-01-2016,2,6
6,94,4,Delivered / Shipped,04-01-2016,07-01-2016,05-01-2016,2,6
7,324,4,Delivered / Shipped,04-01-2016,07-01-2016,05-01-2016,2,6
8,1204,4,Delivered / Shipped,04-01-2016,05-01-2016,05-01-2016,2,7
9,60,4,Delivered / Shipped,05-01-2016,08-01-2016,08-01-2016,1,2
10,442,4,Delivered / Shipped,05-01-2016,06-01-2016,06-01-2016,2,6
11,1326,4,Delivered / Shipped,05-01-2016,08-01-2016,07-01-2016,2,7
12,91,4,Delivered / Shipped,06-01-2016,08-01-2016,09-01-2016,1,2
13,873,4,Delivered / Shipped,08-01-2016,11-01-2016,11-01-2016,2,6
14,258,4,Delivered / Shipped,09-01-2016,11-01-2016,12-01-2016,1,3
15,450,4,Delivered / Shipped,09-01-2016,10-01-2016,12-01-2016,2,7
16,552,4,Delivered / Shipped,12-01-2016,15-01-2016,15-01-2016,1,3
17,1175,4,Delivered / Shipped,12-01-2016,14-01-2016,14-01-2016,1,3
18,541,4,Delivered / Shipped,14-01-2016,17-01-2016,15-01-2016,1,3
19,696,4,Delivered / Shipped,14-01-2016,17-01-2016,16-01-2016,1,2
20,923,4,Delivered / Shipped,14-01-2016,16-01-2016,17-01-2016,1,2
21,1250,4,Delivered / Shipped,15-01-2016,16-01-2016,18-01-2016,2,6
22,1035,4,Delivered / Shipped,16-01-2016,18-01-2016,17-01-2016,1,2
23,1149,4,Delivered / Shipped,16-01-2016,19-01-2016,19-01-2016,1,2
24,636,4,Delivered / Shipped,18-01-2016,20-01-2016,19-01-2016,2,7
25,657,4,Delivered / Shipped,18-01-2016,21-01-2016,21-01-2016,2,6
26,1280,4,Delivered / Shipped,18-01-2016,21-01-2016,19-01-2016,2,7
27,57,4,Delivered / Shipped,19-01-2016,21-01-2016,20-01-2016,2,7
28,252,4,Delivered / Shipped,19-01-2016,20-01-2016,21-01-2016,2,6
29,437,4,Delivered / Shipped,20-01-2016,22-01-2016,21-01-2016,2,6
30,1348,4,Delivered / Shipped,20-01-2016,21-01-2016,21-01-2016,2,6
31,1238,4,Delivered / Shipped,20-01-2016,22-01-2016,22-01-2016,3,8
32,1259,4,Delivered / Shipped,21-01-2016,24-01-2016,22-01-2016,1,3
33,236,4,Delivered / Shipped,21-01-2016,22-01-2016,22-01-2016,2,6
34,80,4,Delivered / Shipped,22-01-2016,25-01-2016,23-01-2016,2,6
35,813,4,Delivered / Shipped,22-01-2016,25-01-2016,24-01-2016,2,7
36,1321,4,Delivered / Shipped,23-01-2016,24-01-2016,24-01-2016,2,6
37,164,4,Delivered / Shipped,25-01-2016,28-01-2016,26-01-2016,2,6
38,583,4,Delivered / Shipped,25-01-2016,27-01-2016,26-01-2016,2,7
39,1296,4,Delivered / Shipped,25-01-2016,26-01-2016,26-01-2016,2,7
40,348,4,Delivered / Shipped,27-01-2016,28-01-2016,29-01-2016,1,3
41,979,4,Delivered / Shipped,27-01-2016,30-01-2016,29-01-2016,2,6
42,1095,4,Delivered / Shipped,27-01-2016,28-01-2016,30-01-2016,2,7
43,1434,4,Delivered / Shipped,27-01-2016,28-01-2016,30-01-2016,2,7
44,861,4,Delivered / Shipped,28-01-2016,31-01-2016,30-01-2016,2,7
45,1220,4,Delivered / Shipped,28-01-2016,31-01-2016,31-01-2016,2,7
46,746,4,Delivered / Shipped,29-01-2016,31-01-2016,31-01-2016,2,7
47,1234,4,Delivered / Shipped,29-01-2016,30-01-2016,31-01-2016,2,7
48,1012,4,Delivered / Shipped,30-01-2016,01-02-2016,02-02-2016,2,7
49,608,4,Delivered / Shipped,31-01-2016,01-02-2016,02-02-2016,2,6
50,872,4,Delivered / Shipped,31-01-2016,03-02-2016,02-02-2016,3,8
51,1047,4,Delivered / Shipped,01-02-2016,02-02-2016,03-02-2016,2,7
52,767,4,Delivered / Shipped,03-02-2016,04-02-2016,05-02-2016,1,2
53,965,4,Delivered / Shipped,03-02-2016,04-02-2016,05-02-2016,2,6
54,535,4,Delivered / Shipped,04-02-2016,07-02-2016,07-02-2016,2,7
55,1173,4,Delivered / Shipped,04-02-2016,07-02-2016,06-02-2016,2,6
56,1241,4,Delivered / Shipped,04-02-2016,06-02-2016,07-02-2016,2,6
57,1305,4,Delivered / Shipped,04-02-2016,06-02-2016,06-02-2016,2,7
58,504,4,Delivered / Shipped,05-02-2016,07-02-2016,07-02-2016,2,6
59,563,4,Delivered / Shipped,05-02-2016,07-02-2016,06-02-2016,2,7
60,151,4,Delivered / Shipped,06-02-2016,08-02-2016,07-02-2016,1,3
61,277,4,Delivered / Shipped,06-02-2016,09-02-2016,09-02-2016,2,7
62,208,4,Delivered / Shipped,07-02-2016,10-02-2016,10-02-2016,1,2
63,1075,4,Delivered / Shipped,07-02-2016,09-02-2016,09-02-2016,2,7
64,1185,4,Delivered / Shipped,07-02-2016,08-02-2016,09-02-2016,2,6
65,996,4,Delivered / Shipped,08-02-2016,09-02-2016,11-02-2016,2,6
66,1253,4,Delivered / Shipped,09-02-2016,12-02-2016,12-02-2016,2,7
67,526,4,Delivered / Shipped,09-02-2016,11-02-2016,10-02-2016,3,8
68,381,4,Delivered / Shipped,10-02-2016,11-02-2016,13-02-2016,2,6
69,1413,4,Delivered / Shipped,10-02-2016,12-02-2016,11-02-2016,2,7
70,50,3,Rejected,11-02-2016,11-02-2016,NULL,3,9
71,797,4,Delivered / Shipped,11-02-2016,14-02-2016,12-02-2016,2,7
72,1386,4,Delivered / Shipped,12-02-2016,15-02-2016,13-02-2016,1,2
73,612,4,Delivered / Shipped,12-02-2016,15-02-2016,14-02-2016,2,7
74,264,4,Delivered / Shipped,13-02-2016,15-02-2016,15-02-2016,2,7
75,587,4,Delivered / Shipped,14-02-2016,15-02-2016,17-02-2016,2,6
76,9,3,Rejected,16-02-2016,16-02-2016,NULL,2,6
77,385,4,Delivered / Shipped,16-02-2016,19-02-2016,19-02-2016,1,2
78,1182,4,Delivered / Shipped,16-02-2016,18-02-2016,19-02-2016,2,7
79,529,4,Delivered / Shipped,17-02-2016,20-02-2016,20-02-2016,1,3
80,397,4,Delivered / Shipped,17-02-2016,20-02-2016,19-02-2016,2,6
81,521,4,Delivered / Shipped,17-02-2016,19-02-2016,18-02-2016,2,6
82,1223,4,Delivered / Shipped,18-02-2016,21-02-2016,20-02-2016,2,6
83,393,4,Delivered / Shipped,19-02-2016,20-02-2016,20-02-2016,1,3
84,317,4,Delivered / Shipped,20-02-2016,22-02-2016,21-02-2016,2,7
85,1174,4,Delivered / Shipped,20-02-2016,23-02-2016,21-02-2016,2,7
86,276,4,Delivered / Shipped,21-02-2016,22-02-2016,23-02-2016,2,7
87,516,4,Delivered / Shipped,21-02-2016,22-02-2016,23-02-2016,2,6
88,1069,4,Delivered / Shipped,21-02-2016,22-02-2016,23-02-2016,2,6
89,668,4,Delivered / Shipped,21-02-2016,24-02-2016,24-02-2016,3,8
90,414,4,Delivered / Shipped,23-02-2016,25-02-2016,24-02-2016,2,7
91,648,4,Delivered / Shipped,25-02-2016,27-02-2016,28-02-2016,1,2
92,1309,4,Delivered / Shipped,25-02-2016,28-02-2016,28-02-2016,2,7
93,1328,4,Delivered / Shipped,26-02-2016,28-02-2016,27-02-2016,1,3
94,929,4,Delivered / Shipped,27-02-2016,28-02-2016,29-02-2016,1,2
95,218,4,Delivered / Shipped,27-02-2016,29-02-2016,28-02-2016,2,7
96,1094,4,Delivered / Shipped,27-02-2016,29-02-2016,28-02-2016,2,7
97,204,4,Delivered / Shipped,28-02-2016,29-02-2016,01-03-2016,2,7
98,1194,4,Delivered / Shipped,28-02-2016,29-02-2016,29-02-2016,2,6
99,1165,4,Delivered / Shipped,29-02-2016,01-03-2016,03-03-2016,3,9
100,1237,4,Delivered / Shipped,01-03-2016,04-03-2016,03-03-2016,2,7
101,271,4,Delivered / Shipped,01-03-2016,04-03-2016,04-03-2016,3,8
102,336,4,Delivered / Shipped,02-03-2016,05-03-2016,03-03-2016,2,7
103,991,4,Delivered / Shipped,03-03-2016,06-03-2016,05-03-2016,1,2
104,7,4,Delivered / Shipped,03-03-2016,05-03-2016,05-03-2016,2,7
105,306,4,Delivered / Shipped,03-03-2016,05-03-2016,04-03-2016,2,7
106,422,4,Delivered / Shipped,04-03-2016,05-03-2016,05-03-2016,3,9
107,633,4,Delivered / Shipped,06-03-2016,09-03-2016,09-03-2016,1,2
108,12,4,Delivered / Shipped,06-03-2016,09-03-2016,07-03-2016,2,6
109,1255,4,Delivered / Shipped,06-03-2016,09-03-2016,09-03-2016,2,6
110,677,4,Delivered / Shipped,06-03-2016,08-03-2016,09-03-2016,3,9
111,630,4,Delivered / Shipped,07-03-2016,10-03-2016,10-03-2016,2,6
112,469,4,Delivered / Shipped,08-03-2016,11-03-2016,10-03-2016,2,6
113,1078,4,Delivered / Shipped,08-03-2016,11-03-2016,11-03-2016,2,6
114,1431,4,Delivered / Shipped,08-03-2016,10-03-2016,11-03-2016,2,7
115,1369,4,Delivered / Shipped,09-03-2016,11-03-2016,11-03-2016,2,7
116,471,4,Delivered / Shipped,10-03-2016,11-03-2016,11-03-2016,2,7
